backend,seed,fit_seconds,sample_seconds,ks_mean_d,wasserstein_mean,tvd_mean,correlation_normalised,tstr_r2_real,tstr_r2_synth,tstr_ratio
gaussian_copula,1,0.006158351898193359,0.003692626953125,0.10791647003303445,482.6349147846883,0.1112977819726286,0.15409985240237295,0.9160074731813388,0.8324959431125043,0.908830951150655
gaussian_copula,2,0.0052852630615234375,0.003078460693359375,0.08773478055686644,330.4773665295372,0.10382255781028787,0.12322663747778609,0.924612089843462,0.8715651335785736,0.9426278794668699
gaussian_copula,3,0.0051839351654052734,0.0031011104583740234,0.09964369985842378,461.4519614782921,0.11001415762151961,0.2047985036321362,0.9042108739133137,0.828174780099754,0.915908892486014
bayesian_network,1,2.684749126434326,0.27277064323425293,0.1776970268994809,723.7523154920165,0.132760736196319,0.2714702121647138,0.9160074731813388,0.6192222782593062,0.6760013388413928
bayesian_network,2,0.33301663398742676,0.020252466201782227,0.15539877300613497,1404.5206507709802,0.1374988201982067,0.2536311224077917,0.924612089843462,0.6156306445526358,0.6658258650466736
bayesian_network,3,0.336531400680542,0.020920753479003906,0.16164228409627185,1108.3978174473,0.12522888154789996,0.26788658000200605,0.9042108739133137,0.533348884156731,0.5898501107915928
ctgan,1,8.019015550613403,0.07441973686218262,0.2940655969797074,873.6440333742562,0.11116564417177911,0.3487429898883996,0.9160074731813388,-0.7016389476750187,-0.765975134720454
ctgan,2,6.650829553604126,0.0731346607208252,0.43066776781500715,646.5921485713167,0.10834355828220861,0.34933354261243516,0.924612089843462,-1.0934121789475015,-1.1825631429204193
ctgan,3,6.7619218826293945,0.0732717514038086,0.26339075035394055,1112.4362385157224,0.09448796602170835,0.34980516487178337,0.9042108739133137,-0.054602244707434355,-0.06038662692821039
tvae,1,2.0528461933135986,0.0724344253540039,0.2871472392638037,1056.4157394027563,0.4432184992921188,0.2721478761965307,0.9160074731813388,0.5079277598125236,0.5545017641051176
tvae,2,2.055798053741455,0.07409071922302246,0.2744478527607362,731.2862314004573,0.4294289759320434,0.29074515334968376,0.924612089843462,-0.05958303516317476,-0.06444111624504309
tvae,3,2.068390369415283,0.07232451438903809,0.3108423784804153,1040.7502458742433,0.3449457291175082,0.28953507151064267,0.9042108739133137,-0.17171298086022224,-0.18990368929879103
